p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.610872,0.589325,0.609577,0.608369,0.517594,0.513909,0.516042,0.608914
0.1000,0.620427,0.596249,0.610260,0.614627,0.528141,0.521602,0.528365,0.615353
0.1500,0.620016,0.596976,0.611241,0.614690,0.532658,0.530240,0.535644,0.614740
0.2000,0.618893,0.598405,0.609614,0.611732,0.536109,0.537408,0.546155,0.612151
0.2500,0.616924,0.599700,0.606921,0.610274,0.538557,0.540621,0.549131,0.609370
0.3000,0.614290,0.601583,0.604479,0.608167,0.540747,0.548209,0.556824,0.607653
0.3500,0.611554,0.600762,0.602900,0.606794,0.541656,0.553118,0.560587,0.606981
0.4000,0.608814,0.600821,0.601869,0.604819,0.544631,0.558278,0.565513,0.605109
0.4500,0.606144,0.600412,0.601217,0.602633,0.543920,0.564049,0.570344,0.603185
0.5000,0.606239,0.600084,0.601030,0.601973,0.543066,0.567591,0.572316,0.602640
