p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.059845,0.061716,0.059685,0.060189,0.065810,0.067243,0.067862,0.060805
0.1000,0.058042,0.059540,0.058791,0.059324,0.063712,0.064669,0.065302,0.058959
0.1500,0.057236,0.058727,0.057949,0.058416,0.063395,0.063313,0.063824,0.058898
0.2000,0.056932,0.058083,0.057137,0.058931,0.062354,0.062092,0.061693,0.058505
0.2500,0.057052,0.057553,0.056876,0.057714,0.061978,0.061762,0.061280,0.058364
0.3000,0.056829,0.057134,0.056980,0.058022,0.061308,0.061503,0.060587,0.058115
0.3500,0.056732,0.057195,0.056663,0.057774,0.061110,0.060975,0.060788,0.057530
0.4000,0.057105,0.057168,0.057096,0.057742,0.060463,0.060664,0.060438,0.057376
0.4500,0.056749,0.057090,0.056848,0.057155,0.060149,0.060085,0.059676,0.057495
0.5000,0.056711,0.056627,0.056934,0.057346,0.059947,0.059624,0.059493,0.056988
