p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.141612,0.125832,0.143291,0.140220,0.069916,0.056944,0.060247,0.137898
0.1000,0.157439,0.136426,0.148482,0.145561,0.084450,0.066204,0.077361,0.147238
0.1500,0.157115,0.138495,0.148267,0.148956,0.087189,0.074026,0.085579,0.148435
0.2000,0.156309,0.139033,0.148002,0.148292,0.091780,0.079830,0.091985,0.149137
0.2500,0.154470,0.140798,0.147057,0.146496,0.093830,0.083895,0.094908,0.146483
0.3000,0.152000,0.141544,0.146101,0.143927,0.098730,0.085457,0.097862,0.145408
0.3500,0.149870,0.141151,0.145832,0.143892,0.098703,0.090424,0.100584,0.144795
0.4000,0.146862,0.140331,0.144590,0.142505,0.102098,0.093591,0.104197,0.143162
0.4500,0.145902,0.140450,0.144105,0.141821,0.101017,0.102502,0.109946,0.142875
0.5000,0.144622,0.140700,0.143614,0.141039,0.100158,0.106943,0.112236,0.142564
