p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.232388,0.212783,0.235440,0.231692,0.132203,0.126304,0.132676,0.231263
0.1000,0.249093,0.226132,0.243072,0.244564,0.147378,0.139203,0.150274,0.244701
0.1500,0.251631,0.229650,0.245361,0.246894,0.151872,0.148864,0.162014,0.246064
0.2000,0.251936,0.231695,0.245880,0.246387,0.156746,0.158194,0.172273,0.246402
0.2500,0.250773,0.234076,0.244137,0.245016,0.162856,0.163619,0.174223,0.243478
0.3000,0.249420,0.236579,0.243679,0.242551,0.165726,0.165907,0.178178,0.242469
0.3500,0.247405,0.236616,0.243438,0.240989,0.167055,0.172215,0.181603,0.241452
0.4000,0.243658,0.237225,0.240416,0.239551,0.169930,0.177679,0.184995,0.240402
0.4500,0.242283,0.236981,0.239002,0.238461,0.170200,0.185548,0.192065,0.238318
0.5000,0.241482,0.237949,0.239978,0.238198,0.169671,0.189371,0.193335,0.238443
