p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.370635,0.338623,0.370436,0.360686,0.175378,0.189175,0.199202,0.365038
0.1000,0.388282,0.342192,0.359755,0.363314,0.210881,0.198666,0.231446,0.365481
0.1500,0.380375,0.340616,0.351843,0.358486,0.224321,0.216032,0.229907,0.359085
0.2000,0.367851,0.337203,0.351451,0.354133,0.233054,0.223888,0.225400,0.353108
0.2500,0.363233,0.339838,0.349696,0.349283,0.229850,0.229358,0.227961,0.348260
0.3000,0.352508,0.335230,0.344047,0.346720,0.242605,0.248548,0.247292,0.344350
0.3500,0.346970,0.337500,0.343255,0.341231,0.239889,0.258720,0.268643,0.341110
0.4000,0.342015,0.333489,0.340920,0.335557,0.245911,0.269828,0.274853,0.335709
0.4500,0.336709,0.332450,0.340358,0.335126,0.242812,0.281901,0.282884,0.336522
0.5000,0.336675,0.333045,0.338747,0.335010,0.244493,0.290195,0.282866,0.336952
