p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.461689,0.432741,0.461413,0.455648,0.312154,0.311211,0.317971,0.456993
0.1000,0.475897,0.442528,0.462517,0.465465,0.331081,0.322656,0.337464,0.465463
0.1500,0.475044,0.443348,0.461366,0.463139,0.339446,0.336025,0.349971,0.462666
0.2000,0.471572,0.443403,0.459850,0.460092,0.346663,0.347386,0.361895,0.460587
0.2500,0.467477,0.443951,0.456979,0.456758,0.354233,0.355014,0.368408,0.456441
0.3000,0.463635,0.446260,0.454156,0.454696,0.358068,0.370436,0.381463,0.453469
0.3500,0.459247,0.445033,0.452676,0.450448,0.360856,0.377668,0.388271,0.451727
0.4000,0.454419,0.445239,0.449690,0.448756,0.366099,0.385752,0.394187,0.449435
0.4500,0.451216,0.444167,0.447771,0.447238,0.366052,0.396428,0.402652,0.447037
0.5000,0.450017,0.444750,0.448044,0.446060,0.365390,0.401515,0.404413,0.446364
